symbol
AAPL
MSFT
GOOGL
AMZN
NVDA
TSLA
META
BRK-B
V
UNH
XOM
JNJ
JPM
WMT
PG
MA
LLY
CVX
HD
MRK
KO
PEP
ABBV
BAC
AVGO
COST
PFE
TMO
CSCO
MCD
DIS
ABT
DHR
ACN
LIN
VZ
NEE
WFC
CRM
PM
BMY
TXN
CMCSA
RTX
ADBE
NKE
NFLX
QCOM
ORCL
INTC
